mtry,ntree,Accuracy,Kappa,AccuracySD,KappaSD
22,1500,0.93719285371278,0.867594008608725,0.0117772228252078,0.024944207417582
21,1500,0.936926202069467,0.866968812930584,0.00990734005067963,0.0208839768007602
20,1500,0.937189002905409,0.86757212939545,0.0121776548603329,0.0256703370999588
19,1500,0.937121021695332,0.867278875741863,0.0112364200357777,0.0237916095219257
18,1500,0.937124500138161,0.867313340406071,0.00953094581377247,0.0202694062764338
17,1500,0.9373216907711,0.867702161157526,0.00891747799313588,0.0189672956988675
16,1500,0.936792484567529,0.866478138347508,0.0103838962322022,0.0220762278218723
15,1500,0.937187842351369,0.86720279169023,0.0116153078379185,0.0250463024303744
14,1500,0.93619369609366,0.865094868048607,0.0127180759611383,0.026971335325354
13,1500,0.935590738102711,0.863703234379721,0.011050443657596,0.0234653875013457
12,1500,0.934120487829743,0.860431848855271,0.0113929052470842,0.0245343941533802
11,1500,0.934523678682667,0.861350327992755,0.00953593876741949,0.0201426745319978
10,1500,0.932920908483634,0.857760657182414,0.0110900835692984,0.0237402104924568
9,1500,0.932987020895875,0.857830295057235,0.00866270233817862,0.0185072938217948
8,1500,0.932389148846555,0.856391590272371,0.0113614507757212,0.02459589014099
7,1500,0.931651414743812,0.854723808434821,0.00947451049869415,0.0202754009271369
6,1500,0.930113121557707,0.851176946799153,0.0118259568494764,0.0256893635851748
5,1500,0.926710560075975,0.843546141727615,0.0115572836755586,0.0251972243194379
4,1500,0.920770027873686,0.830121323629141,0.0119032980687502,0.0261863349477146
3,1500,0.909692275045405,0.805026786587189,0.0102596431801277,0.0226676030131607
2,1500,0.882791650234874,0.742411882644093,0.0129214268047276,0.0297019555021773
1,1500,0.787613172798073,0.509117033137574,0.0144683451023708,0.0369175458740189
